,ingredients,frequency
1304,ซีอิ๋ว,2
1305,ซอสพริกไทยดำ,5
1306,ชะอมเอาแต่ยอด,1
1307,ไข่แดงเค็มดิบ,1
1308,ชีอิ้วขาว,3
1309,เต้าหู้เหลืองนิ่ม,1
1310,กุนเชียงหมู,5
1311,เต้าหูขาวแผ่น,1
1312,ปลาจาระเม็ด,1
1313,บ๊วยดอง,3
1314,ต้นตำลึง,1
1315,เห็ดโคน,1
1316,หมูบดรวน,1
1317,กระเทียมโทนซอย,1
1318,เนื้อไก่หรือไก่สับ,1
1319,ถั่วฝักยาวหั่นสั้น,1
1320,พริกตำ,4
1321,กระหล่ำปลีหั่น,2
1322,เห็ดหูหนูดำ,7
1323,ตั้งโอ๋,5
1324,เนื้อโคขุน,1
1325,ผง Tikka,1
1326,เมล็ดมัสตาร์ดดำ,1
1327,Basil powder,1
1328,Red Pepper Flakes,2
1329,Marjoram powder,1
1330,Sage powder,1
1331,น้ำปลาร้าต้มสุก,3
1332,พริกแห้งจินดา,2
1333,ขา ตะไคร้ ใบมะกูด,1
1334,ผักชีลาว,2
1335,ขนมปัง,8
1336,มอสซาเรลลาชีส,4
1337,พาเมซอนชีส,1
1338,ปลาแพนกาเซียสหั่นชิ้น,1
1339,ขิงแก่ซอย,2
1340,แครอทหั่นเต๋าเล็ก,4
1341,เบรกกิ้งโซดา,1
1342,ต้นหอม ผักชี,6
1343,ทูน่ากระป๋อง,6
1344,ใส้กรอกไก่,1
1345,ใส้เจ,1
1346,หน่อไม้ฝอย,2
1347,เบคอนหั่นชิ้นพอดีคำ,1
1348,เส้นสปาเกตตี้ต้มแล้ว,1
1349,พริกขี้หนูแห้งซอย,2
1350,พริกไทยบดใหม่,1
1351,ซัมยังรสหม่าล่า,1
1352,นองซิมรสกิมจิแบบแห้ง,1
1353,กะหล่ำปลี1หัว,1
1354,แครอทฝอย,5
1355,พอนซึ,1
1356,ซีอิ้วพรีเมี่ยม,1
1357,น้ำมันพริกเผา,6
1358,กระเทียมกลีบใหญ่สับหยาบ,1
1359,ซอสทาคูมิ,1
1360,พริก หอมแดง มะนาว,1
1361,น้ำปลา น้ำตาล,1
1362,นมข้นจืด,14
1363,พริกขี้หนูเน้นสีแดง,1
1364,น้ำดื่ม,4
1365,กุ้ง ปอกเปลือกไว้หาง ผ่าหลัง,1
1366,เส้นขนมจีน,2
1367,ใบกระเพรา.,1
1368,ผงเติมทิพ,5
1369,น้ำมันพืช.,2
1370,มะนาวฝาน,3
1371,แปรงทา,1
1372,ซอสแกงเขียวหวาน ตรานัวร์,1
1373,กุ้งสด / หมึกสด / เนื้อไก่,1
1374,มะเขือพวง/เปราะ,1
1375,หนวดปลาหมึกกล้วย,1
1376,หัวหอมเล็ก,1
1377,น้ำเชื่อมใบเตย,1
1378,พริกคั่วบ่น,1
1379,กุ้งแห้งชนิดจืด,1
1380,เกลือปรุงทิพย์,1
1381,มะม่วงแก้วขมิ้น,2
1382,ก๊วยเตี๊ยวหลอด,1
1383,เต้าหู้แข๊ง,1
1384,ซีอิ๊วดำเค็ม ถ้าไม่มีใช้ซีอิ๊วขาวแทนได้,1
1385,ไก่ต้มหั่นชิ้น,1
1386,แป้งต็อก,2
1387,งาขาว - งาดำ,1
1388,ข้่าวสวย,1
1389,เกลืิอ,1
1390,ปลาทูแกะเอาแต่เนื้อ,1
1391,ซีอิ้วขาวสูตร1,1
1392,แครอล,1
1393,ฟักทอง,10
1394,เส้นใหญ่ไม่ตัด,1
1395,ชุดเครื่องพะโล้,1
1396,ปลาหมึกแห้ง,4
1397,ผักวอเตอร์เครส,1
1398,เกลือชมพู,6
1399,น้ำมันคาโนล่า,8
1400,เม็ดผักชีคั่วป่น,1
1401,นมข้นจืดหรือนมสด,1
1402,ผงกระเทียม,7
1403,พริกขี้หนูตำละเอียด,3
1404,ตีนไก่ลวก,1
1405,เส้นแก้ว,3
1406,เส้นสปาเก็ตตี้ลวก,1
1407,กระเทียบตำ,1
1408,มาม่าน้ำข้น,1
1409,คลื่นช่าย,1
1410,ไก่ยอพริกไทดำ,1
1411,ใบกุ้ยฉ่าย,2
1412,แกงกะหรี่,2
1413,มันฝรั่งขนสดใหญ่,1
1414,หู่เมาะ-ฟองเต้าหู้สด,1
1415,น้ำส้มสายชูข้าว,3
1416,น้ำ,14
1417,ผักบุ้งจีน,4
1418,แป้งทอดกรอบคนอร์,3
1419,น้ำโซดา,2
1420,กุ้งสดลวก,1
1421,อกไก่สับลวกสุก,1
1422,กระดูกหมูอ่อนหั่น,1
1423,เครื่องต้มยำ,3
1424,ต้นหอม ผักชี ซอย,3
1425,พริกแกงแดง,5
1426,ใบยี่หร่า,3
1427,พริกไทยสด,9
1428,คนอร์ อร่อยชัวร์,1
1429,หมี่ซั่ว,7
1430,หมี่เบตง,2
1431,ออรินจิคั่วพริกเกลือ,1
1432,มาม่าเกาหลีสูตรหม่าล่า,1
1433,เนื้อ หมูสับ,1
1434,ข่าอ่อนหั่นแว่น,2
1435,ตระไคร้หั่นเฉียง,1
1436,ผักชีใบเลื่อยหั่นยาว,1
1437,พริกเผาตราครัวสยาม,1
1438,เนื้ออกไก่หรือสันในสับสะเอียด,1
1439,พริกแกงใต้หรือพริกแกงแดง,1
1440,ไข่ขาวพลาสเจอไรซ์,1
1441,น้ำปลา Low Sodium,2
1442,ถั่วฝันยาวหั่น,1
1443,นมไขมัน 0,1
1444,เส้นบุก,4
1445,หมูสไลซ์,1
1446,ขนมผักกาดหั่นเป็นชิ้นๆ,1
1447,สโมกกี้ไบร์,1
1448,เนื้อหมูส่วนสันคอ สำหรับชุบเกล็กขนมปังทอด,1
1449,ไวไวรสหอยลายผัดฉ่า,2
1450,เส้นหมี่ฮกเกี้ยน,3
1451,แครอทหั่นเส้น,3
1452,กะหล่ำปลีหั่นชิ้นเล็กๆ,1
1453,ซอสทงคัตสึ,2
1454,สาหร่ายหั่นฝอย,1
1455,เนื้อปลาแซลม่อน,1
1456,กะหล่าปลี,1
1457,กุ้งขาวใหญ่,1
1458,กระท้อนสับหยาบ,1
1459,พริกขี้หนูหรือพริกชี้ฟ้า,1
1460,ผงชูรส,19
1461,ข้าวสวยหอมมะลิหุงค้างคืน,2
1462,ปลาสลิดทอด,3
1463,ซอสเพสโต้โฮมเมด,1
1464,น้ำปรุงรสอเนกประสงค์ตราเป๋าฮื้อ,1
1465,หมี่ขาวอบแห้ง,1
1466,ผักกะเฉด,4
1467,เนื้อหมูสันคอหันชิ้นพอดีคำ,1
1468,คะน้าหั่นชิ้น,1
1469,ซีอิ้วขาว หรือ ซอสปรุงรส,1
1470,ซอยหอยนางรม,12
1471,กระเทียม+พริก,2
1472,เต้าหู้หลอด,4
1473,ต้นหอมผักชีหั่น,3
1474,ชีอิ๊วขาว,2
1475,ชีอิ๊วดำ,1
1476,กะหล่ำปลีหั่นหยาบ,1
1477,ผงปรุงบะหมี่,1
1478,หมึกแดดเดียวลวก,1
1479,มาม่าokรสต้มยำ,1
1480,เป็ด,2
1481,สะโพกไก่ทอดเลาะกระดูกหั่นเป็นชิ้นพอคำ,1
1482,หอมใหญ่ซอยบางๆ,2
1483,ต้นหอม-ผักชีซอย,2
1484,ซ้อสปรุงรส,2
1485,ไชโป๊ว,3
1486,ข้าวสวยเก่า,5
1487,คะน้าต้นใหญ่,1
1488,กุ้งเด้ง,1
1489,กุ้ยช่ายขาว,1
1490,น้ำตาลไว้ชูรส,1
1491,หอมหั่วใหญ่หั่น,1
1492,ขึ้นช่ายหั่นท่อน,1
1493,ผงพะโล้,7
1494,ข้าวสุก,4
1495,หน่อไม้ต้ม,3
1496,น้ำมะขาวเปียก,2
1497,สันนอกหมู,4
1498,ซอสผัดลุงหนวด,1
1499,ซีอิ๋วข่าว,1
1500,ปูดาวขนาด M,1
1501,ไก่น่องสะโพก,8
1502,กระเทียมตำละเอียด,5
1503,ซอสปรุงรส/ซี๊อิ๋วขาว,1
1504,เส้นมาม่า,4
1505,แตงกวาหั่นชิ้นเล็ก,1
1506,มะเขือเทศหั่นชิ้นเล็ก,1
1507,หอมใหญ่หั่นชิ้นเล็ก,2
1508,เส้นโซบะบัควีทต้มสุก,1
1509,แครอทขูดฝอย,2
1510,เห็ดชิเมจิหั่นเป็นท่อนเล็กๆ ลวก,1
1511,อกไก่อบชานอ้อย 5 ดาวหั่นเป็นเส้น,1
1512,น้ำสลัดซีอ๊วญี่ปุ่น,1
1513,กระเทียมสับมะเอียด,1
1514,เต้าหู้ไข่สีขาว,1
1515,หมูสันนอก,6
1516,หอมยักษ์,1
1517,ซอสพริกเกาหลี,1
1518,หอมใหญ่หั่น,2
1519,เนื้อหมูหั่นชิ้น,3
1520,เส้นหมี่แช่น้ำ,2
1521,กระเทียมบุพอแหลก,1
1522,พริกบุพอแหลก,1
1523,น้ำพริกมันกุ้ง,2
1524,ซีอิ๊วหรือซอสปรุงรส,1
1525,บะเต็ง,1
1526,หมูสนใน,1
1527,กระเทียม/พริกแดง,1
1528,หมูยอพริกไทยอุบล,1
1529,เลือดหมูก้อน,1
1530,หอมชีรวม,1
1531,เส้นก๋วยจั๊บเปียกอุบล,1
1532,เครื่องยาจีนตุ๋นไก่,1
1533,หมี่ฮ่องกง,4
1534,บะหมี่กึ่งสำเร็จรูปรสต้มยำ,2
1535,เนื้อปูแกะเนื้อ,1
1536,เนยแท้,3
1537,ข้าวสวนค้างคืน,1
1538,นำ้มันมะกอก,1
1539,ซีอี้วดำ,1
1540,ซีอี๊วขาว,2
1541,เครื่องปรุงรสคนอร์,1
1542,มะกรูด,2
1543,น้ำตาลปิ้บ,4
1544,ถั่วลิสงตำ,2
1545,เครื่องแกงมัสมั่น,1
1546,หมูสับลวก,2
1547,กระหล่ำปลีลวก,1
1548,แม็กกี้,3
1549,สปาเก็ตตี้,9
1550,ตับไก่ย่าง,1
1551,หมูเด้ง,7
1552,ไส้กรอกรมควัน,7
1553,ผักกึ้นฉ่าย,1
1554,เนื้อหมูหั่นบางๆ ชิ้นใหญ่2 นิ้ว,1
1555,ซอสผัดสไตล์เกาหลี,1
1556,ผงปรุงรสคนอร์อร่อยชัวร์,5
1557,ต้นหอมซอย ผักชีเด็ดใบ,1
1558,ไข่ดาว ทอดให้ได้ความสุกตามชอบ,1
1559,แหนมหมู,6
1560,เส้น,2
1561,ปลากรอบ,3
1562,บวบ,3
1563,ข้าวโพดฝัก,1
1564,ใบแมงลัก,3
1565,น้ำซุป หรือน้ำเปล่า,1
1566,เนื้ออกไก่ลอกหนัง,2
1567,ซีอิ๊วlow sodium,1
1568,ซอสหอยนางรมlow sodium,1
1569,สารให้ความหวานยี่ห้อ D-et,1
1570,ออริกาโน่,16
1571,ผักรวมและถั่วแระต้ม,1
1572,พอร์คชอป,1
1573,พริกไทยสามสี,1
1574,โรสแมรี่อบแห้ง,2
1575,เนยสดจืด,2
1576,ผงฟู,5
1577,กระทิ,2
1578,พริกแกงเขียวหวาน,9
1579,นอดมะพร้าวอ่อน,1
1580,โหรพา,3
1581,ทูน่าในนำ้แร่,1
1582,ผักชี และผักชีฝรั่ง หั่นซอย,1
1583,ปีกกลางไก่,2
1584,หางหมู,1
1585,กึ้นช่าย,1
1586,มาการีน,2
1587,กะหล่ำดาว,1
1588,อบเชยคั่วให้หอม,1
1589,โป้ยกั๊กคั่วให้หอม,1
1590,สีผสมอาหาร,1
1591,ลูกชิ้นหมูโกเด้ง,1
1592,ผงปรุงรสดี,1
1593,ขึ้นช่าย,4
1594,น้ำมะนาวสด,2
1595,หมูสามชั้นต้ม หั่นบาง,1
1596,เต้าหู้ขาว หั่นบาง,1
1597,เห็ดหอม ซอยบาง,1
1598,ไชโป๊วหวานสับละเอียด,1
1599,ถั่วงอกลวก,4
1600,กากหมู กระเทียมเจียว,1
1601,พริกเหลืองสับหยาบ สำหรับน้ำจิ้ม,1
1602,น้ำมะนาว สำหรับน้ำจิ้ม,1
1603,น้ำซุปกระดูกหมู,2
1604,หมูก้อนหั่นชิ้น,1
1605,น้ำสำอาด,1
1606,พริกขี้หนูสวนตำ,1
1607,พริกจินดาสีแดงสีเขียว,1
1608,พริกชี้ฟ้า สีเหลืองสีแดง,1
1609,น้ำมันถั่วเหลืองตราองุ่น,1
1610,เกลือป่นตราปรุงทิพย์,1
1611,น้ำตาลทรายขาวตราวังขนาย,1
1612,น้ำมันหอยตราแม่ครัว,1
1613,น้ำดื่มตราบีเลิฟ,1
1614,สี่อิ๋วดำสูตรเค็มตรานกกระเรียน,1
1615,กุ้งกุลาดำ,3
1616,ผงปรุงรสผัดคนอร์,2
1617,น้ำสต๊อกเปลือกกุ้ง,1
1618,แครอทสับ,3
1619,แคปหมู,3
1620,พริกขี้หนู ตามความชอบเผ็ด,1
1621,้น้ำมันงา,1
1622,เส้นสปาเกตตี้ ต้มสุก,2
1623,พริกแห้งหั่นขวาง,1
1624,กระเทียม ใต้หั่นบาง,1
1625,ปลาทูนึ่งตัวโตๆ,1
1626,พริกแกงเผ็ดใต้,2
1627,ซีอิ๊วขาวหมักหมู,1
1628,ซีอิ๊วขาวปรุงรสซุป,1
1629,น้ำซุบ,2
1630,เกลิอ,1
1631,กุ้ยฉ่ายขาว,1
1632,หมูแดงหั่นบาง,1
1633,ข้าวแช่เย็น,2
1634,ซอสมันหอย,1
1635,พริกสำหรับทำน้ำพริกหนุ่ม,1
1636,เนื้อปลาดอลลี่แล่ติดท้อง,1
1637,พริกไทยดำเม็ดบด,1
1638,เนื้อกั้ง,1
1639,ซอสทูคามิ,1
1640,น้ำมันถั่วเหลืิอง,1
1641,ข้าวหอมมะลิผสมข้าวเก่า,1
1642,สันเนื้อหมู,1
1643,น้ำปลา แองโชวี่,1
1644,ไข่ไก่เบอร์2,1
1645,หัวหอมใหญ่แบบลูกเล็ก,1
1646,มะเขือ เทศใหญ่,1
1647,ซอสพริกสูตรหวาน,1
1648,ปลาเค็ม,4
1649,เส้นฟูซิลี่,1
1650,หอมใหญ่หั่นลูกเต๋า,1
1651,มะเขือเทศหั่นลูกเต๋า,2
1652,ซีอิ๊วหวาน,8
1653,หมูหั่นเต๋า,1
1654,มะเขือเทศสับบดหยาบ,1
1655,น้ำมันมะกอก/น้ำมันพืช,1
1656,ผักอื่นๆ,1
1657,แมงกะพรุนอย่างดี ล้างเรียบร้อย,1
1658,เหล้าจีน,16
1659,คอหมูย่าง,3
1660,สามเกลอ,5
1661,หมี่ยากิ,1
1662,ไข่ตุ๋น,1
1663,เส้นเปียก,1
1664,ข้าวมัน - ข้าวหอมมะลิเก่า,1
1665,ข้าวมัน - ข้าวเหนียวเขี้ยวงู,1
1666,ข้าวมัน - ขิง,1
1667,ข้าวมัน - กระเทียม,1
1668,ข้าวมัน - น้ำมันไก่,1
1669,ข้าวมัน - น้ำตาล,1
1670,ข้าวมัน - เกลือ,1
1671,ข้าวมัน - น้ำต้มไก่,1
1672,น้ำจิ้ม 1 - เต้าเจี้ยว,1
1673,น้ำจิ้ม 1 - น้ำส้มสายชู,1
1674,น้ำจิ้ม 1 - น้ำตาล,1
1675,น้ำจิ้ม 1 - ซีอิ้วขาว,1
1676,น้ำจิ้ม1 - ซีอิ้วดำ,1
1677,น้ำจิ้ม 1 - ขิง,1
1678,น้ำจิ้ม 1 - กระเทียม,1
1679,น้ำจิ้ม 1 - พริกจินดา,1
1680,น้ำจิ้ม 2 - ขิง,1
1681,น้ำจิ้ม 2 - กระเทียม,1
1682,น้ำจิ้ม 2 - น้ำมันงา,1
1683,ฟักแก่,1
1684,หมูสันใน ชิ้นละ 120 กรัม,1
1685,เบคอน แบบยาว,1
1686,มันบดวิลเลี่ยม,1
1687,น้ำพะโล้,1
1688,หมี่กึง เต้าหู้และเห็ดหอม,1
1689,แป้งข้าวโพดผสมน้ำ,1
1690,พริกน้ำส้ม,2
1691,ซีอิ้วเห็ดหอม,5
1692,ผงชูรสเจ,2
1693,คนอร์ รสหมู,1
1694,หัวหอมหัวใหญ่ หั่นเต๋า,1
1695,ต้นหอมหั่นท่อน2นิ้ว,1
1696,กระเทียมซอยหยาบๆ,1
1697,มะเขือเทศ หั่นเต๋า,1
1698,น้ำเปล่าสะอาด,1
1699,เส้นหมี่ลวก,1
1700,น้ำมันกากหมูกระเทียมเจียว,1
1701,ผักต้ม-ผักสด,1
1702,สันคอ,2
1703,คื่นไช้,3
1704,หมูสาม,1
1705,หมู หั่นพอดีคำ,1
1706,พริกชี้ฟ้าส้ม,2
1707,พาสต้า makfa,1
1708,ไข่เจียวหั่นฝอย,3
1709,ซอสปรุง,1
1710,คนอร์ซอสข้นรสหมู,1
1711,เนื้อปลา,4
1712,ข้าวสวยหอมมะลิ,6
1713,ขี้หนูขี้,1
1714,พริกแดงหั่นฝอย,1
1715,รากผักชีทุบ,3
1716,น้ำจิ้ม พริกขี้หนูสวน,1
1717,น้ำจิ้ม กระเทียม,2
1718,น้ำจิ้ม รากผักชี,1
1719,น้ำจิ้ม มะนาว,2
1720,น้ำจิ้ม น้ำตาล น้ำปลา เกลือ น้ำต้ม,1
1721,แป้งข้าวจ้าว,1
1722,กุ้งฝอย,1
1723,พริกขี้หนูซอยละเอียด,1
1724,เนื้อหมู 3 ชั้น,1
1725,มะเขือเปาะหั่น,1
1726,กุ้งสด ปอกเปลือกไว้หาง,1
1727,เห็ดฟางทำความสะอาด ผ่าสี่,1
1728,แครอทหั่นแว่น,3
1729,กะหล่ำปลีหั่นชิ้นพอดีคำ,1
1730,ใบกุยช่ายหั่นท่อน,2
1731,ซอสบาบีคิว,1
1732,มาม่ารสต้มยำ,2
1733,ผักชีฝรั่งซอย,5
1734,กุ้งขาว ผ่าหลังเอาเส้นดำออก,1
1735,หมึกกล้วยหั่นแว่น,1
1736,ข้าวโพดอ่อนหั่นชิ้น,1
1737,กระชายหั่นเส้น,2
1738,พริกชี้ฟ้าหั่นชิ้น,1
1739,บะหมี่ลวกแล้ว ผ่านน้ำเย็น สะเด็ดน้ำ,1
1740,หมอใหญ่หั่นเสี้ยว,1
1741,พริกหวานหั่นชิ้นพอดีคำ,1
1742,แตงกวาหั่นชิ้นพอดีคำ,1
1743,น้ำส้มสายชูนิดหน่อย,1
1744,เนื้อบด,3
1745,ซอส presgo,1
1746,น้ำเปล่าใช้ต้ม,1
1747,เซี่ยงจี้,2
1748,วุ้นเส้นแช่น้ำ,2
1749,บะหมี่ไข่เส้นแบน,1
1750,พริกขี้หนูหั่นเฉียง,1
1751,กุ้ง แกะเปลือก,1
1752,เส้นสปาเกตตี,7
1753,มะเขือเทศปอกเปลือก,1
1754,มะเขือเทศกระป๋องแบบปอกเปลือก,1
1755,ซอสมะเขือเทศ  ใช้เกลือไม่เสริมไอโอดีน,1
1756,ซอสปรุงรสทาคูมิ,1
1757,เกลือไม่เสริมไอโอดีน,1
1758,กุ้ง ปลาแผ่น ปูอัด ปลาหมึก ไข่ลวก เกี๊ยวกรอบ หอยแมลงภู่นิวซีแลนด์,1
1759,ผักชี ผักบุ้ง ถั่วงอก,1
1760,น้ำตาล น้ำปลา น้ำมะนาว ผงต้มยำแบบข้น น้ำพริกเผา นมสดกระป๋อง,1
1761,เส้นบะหมี่หยก,1
1762,ผงหมูแดงตราโลโบ,1
1763,เนื้อไก่สับหยาบ,1
1764,พริกขี้หนูแห้ง,5
1765,ก้านคะน้าอ่อน,1
1766,ซอสหอยนางรส,2
1767,ใบกะเพราะตามชอบ,1
1768,ปูม้าสด,2
1769,มาม่สรสต้มยำกุ้งน้ำข้น,1
1770,เห็ดอะไรก็ได้,1
1771,ซอสข้้นปรุงรสคนอร์,1
1772,เเป้งมัน,1
1773,กระเพราขาว,2
1774,เห็ดหลินจือ,1
1775,ไก่หมัก,3
1776,กระเทียมโครก,1
1777,พริกชี้ฟ้าเขียว แดง,2
1778,เส้นก๋วยเตี๋ยวหลอด,2
1779,เต้าหู้หั่น,1
1780,เห็ดหอมคั่วเกลือ,1
1781,หมี่กึงในน้ำพะโล้,1
1782,ไชโป้วสับเจียว,1
1783,ทูน่าในน้ำแร่กระป๋องใหญ่,1
1784,"โหระพา,ผักชีฝรั่ง,ใบแมงลัก,ถั่วฝักยาว",1
1785,"เกลือ,พริกไทย",1
1786,กุ้งลวกสุกแล้ว,1
1787,สายบัว,1
1788,เส้นหมี่ไข่ ลวกสุกแล้ว,1
1789,ผักขม,2
1790,พริกหวาน สีแดง + สีเหลือง หั่นเป็นชิ้นเล็กๆ,1
1791,ผัก Purjolök ซอย,1
1792,เนยสำหรับผัด,1
1793,เส้นราเม็ง,1
1794,หมูสันนอกสไลด์,1
1795,ซอสปลาแห้ง,1
1796,ซอสเทริยากื,1
1797,สาหร่ายซอยฝอย,1
1798,ต้นหอมซอยฝอย,1
1799,ดาชิ,4
1800,ข้าวสวยญี่ปุ่น,4
1801,ปลากระพงหั่น,1
1802,ตั่งไฉ่,1
1803,เต้าเตี้ยว,1
1804,ผักขี,1
1805,เนื้อไก่ส่วนน่องไก่,1
1806,มะเขือเทศเล็ก,1
1807,น้ำตาลปลึก,1
1808,น้ำพริกปลาป่น,1
1809,บะหมี่กึ่งสำเร็จรูปเกาหลี Samyang ซองสีแดงเผ็ดX2,1
1810,พริกขี้หนูสวนแดงเขียว,1
1811,เส้นบะหมี่กึ่งสำเร็จรูป,4
1812,หมูเด้ง+ไก่สับหมัก,1
1813,ผักชีหั่นซอย,1
1814,หอยลาย,5
1815,มาม่าเกาหลีแกงกะหรี่ไก่,1
1816,แกงกะหรี่สำเร็จ,1
1817,เห็ดหูหนูสดซอยบาง,1
1818,แครอทซอยบาง,1
1819,กระเทียมดองซอย,1
1820,น้ำกระเทียมดอง,7
1821,น้ำมันมะพร้าว,8
1822,กะหล่ำดอก,4
1823,ซื้อิ๊วขาว,1
1824,ก้อนผงกะหรี่สำเร็จรูป,1
1825,ชอคโกแลต70,1
1826,ข้าวสวยเรียงเม็ด,1
1827,กะปิเจ,1
1828,มะม่วงดิบ,1
1829,เเกงกระหรี่ก้อน,1
1830,หมูสามชั้น / กระดูกอ่อน,1
1831,เเครอท,1
1832,เส้นบะหมี่มาม่าลวก,1
1833,ข่าหั่นแว่น,2
1834,ตะไคร้หั่นฝอย,2
1835,ใบมะกรุดฉีก,1
1836,กุ้งก้ามกรามลวก,1
1837,น้ำลวกกุ้ง,1
1838,พริกชี้ฟ้าตำ,1
1839,หอมแดงตำ,1
1840,ผงต้มยำ,1
1841,เนื้อกุ้งสับ,1
1842,เห็ดหอมซอย,2
1843,ซอสภูเขาทอง,3
1844,ใบบัวบก,2
1845,มะพร้าวคั่ว,7
1846,เนื้อวัวติดมัน,1
1847,น้ำตาลปี้ป,1
1848,มาม่าต้มยำกุ้ง,1
1849,หมูยอทอด,1
1850,หัวหอมใหญ่ซอยบางๆ,1
1851,มะเขือเทศลูกใหญ่หั่นเอาเม็ดออก,1
1852,คึ่นช่าย ผักชี ต้นหอม,1
1853,น้ำมะนาว น้ำปลา,1
1854,พริกเผามาม่า,1
1855,เต้าหู้ขาวหั่นเส้น,1
1856,ใบกุ่ยช่าย,2
1857,น้ำตาลปี็บ,1
1858,ถั่วลิสงแกะเปลือก,1
1859,หัวไชโป๋หวาน,1
1860,ขิงหั่นแว่น,2
1861,ซอสญี่ปุ่น,1
1862,คนอร์ขวดสูตรเข้มข้น,3
1863,เห็ดออริจิหั่นแว่น,1
1864,ขาหมู,1
1865,น้ำตาลโตนด,6
1866,เกลือแกง,6
1867,ดอกกะวาน,1
1868,พริกไทขาวป่น,1
1869,เต้าหู้พวง,3
1870,สี่อิ๋วขาว,1
1871,สี่อิ๋วดำสูตรเค็ม,3
1872,ผงปรุงรสพะโล้คนอร์,1
1873,ปลาดุกทอดกรอบ,1
1874,พริกใหญ่แดง,2
1875,น้ำโค้ก,1
1876,ซอสคนอร์ข้นปรุงรสหมู,1
1877,มันหมูสำหรับเจียวน้ำมัน,1
1878,ซี่โครงกระดูกหมู,1
1879,เส้นก๋วยจั๊บญวน,1
1880,พริกเจียวน้ำมัน,1
1881,ผัก หั่นพอดีคำ,1
1882,ปูเนื้อ,1
1883,ขิงยาว,1
1884,น้ำพริกหมูหยอง,1
1885,แครรอท,6
1886,โบโลน่า,4
1887,ซอสโกชูจัง,1
1888,ซีอิ้วขาว / น้ำมันหอย,1
1889,เม็ดพริกไทยดำ,1
1890,กระเทียมปลอกเปลือก,1
1891,- น้ำมะขามเปียก,1
1892,- หอมแดงซอย,1
1893,- น้ำตาลปี๊บ,1
1894,- น้ำปลา,1
1895,- พริกป่น,1
1896,- ข้าวคั่ว,1
1897,- ผักชีใบเลื่อย,1
1898,- ต้นหอม,1
1899,ซอสข้นปรุงรสคนอร์,4
1900,ไส้กรอกหนังกรอบหั่นชิ้น,1
1901,หัวหอมใหญ่หั่นเต๋า,2
1902,ออริกาโน่อบแห้ง,2
1903,หมูสามชั้นลอกหนัง,1
1904,กะเพราแดง,3
1905,ใบชะอมอ่อน,1
1906,Rice Wine,1
1907,ขิงสับ,4
1908,เห็ดหอมแช่น้ำหั่นตามยาว,1
1909,หมูสันใน/หมูสามชั้น,1
1910,เครื่องแกงกะหรี่ญี่ปุ่น,1
1911,แครอทหั่นละเอียด,2
1912,เนยสดรสเค็ม,1
1913,กระเทียมซอยหั่นบาง,1
1914,โชยุหรือซอสปรุงรส,1
1915,เนื้อหมูส่วนที่ติดมัน+กระดูกอ่อน,1
1916,พริกไทยดำตำละเอียด,1
1917,เบคอนซอย,1
1918,หอมแดงสับละเอียด,3
1919,ไชโป๊วสับ,2
1920,เส้นจันทร์,1
1921,กุ้งสดปอกเปลือก,1
1922,ถั่วงอกดิบ,2
1923,กุ้ยช่ายหั่นท่อน,1
1924,พริกป่น มะนาว ผักแนม,1
1925,เค้าหู้เหลืองหั่นเต๋า,1
1926,โลโบซอสปรุงผัดไทย,1
1927,ไส้กรอกขนาดยาว,1
1928,นมสดพร่องมันเนย,1
1929,เนื้อหมูหั่นเป็นชิ้น,1
1930,คนอร์ซุปก้อน,2
1931,เส้นมักกะโรนีข้องอ,1
1932,ปลาแซลมอน,4
1933,บ็อคชอย,1
1934,"ข้าวโพด,แข็ง",1
1935,เส้นบุกแบบม้วน,1
1936,กระเทียมหั่นแว่น,1
1937,เนื้อวัวสับ,3
1938,น้ำมันรำข้าว 2 ช้อนโต๊ะ,1
1939,ผงหมาล่า,2
1940,ซอสปรุงรสไข่เจียวสไตล์ไทย ตราเจียว,1
1941,ปลาหมึกสดหั่นพอดีคำ,1
1942,ผักคะน้าหั่น,1
1943,หมูบดติดมัน,3
1944,กะหล่ำปีสับละเอียด,1
1945,แครอทสับละเอียด,1
1946,ต้นหอมสับละเอียด,1
1947,กุ๋ยช่ายสับละเอียด เอาเฉพาะส่วนใบ,1
1948,พริกขี้หนูหั่นซอย,1
1949,พริกขี้หนูเม็ด,1
1950,พริกแห้งหั่นท่อน,1
1951,ไส้กรอกค็อกเทล,1
1952,มอสซาเรลลชีส,1
1953,น้ำตาลปี้บ,4
1954,พริกไทอ่อน,1
1955,ข้าวหอมมะลิหุงแข็ง,1
1956,ซีอิ้วขาวเห็ดหอม,2
1957,หมี่กึน,1
1958,เต้าหู้ก้อน,1
1959,พริกสับ,9
1960,ผงปรุงรส คนอร์,3
1961,ปลาหมึกลวก,1
1962,คอหมู,1
1963,ใบสะระแหน่,5
1964,กุ้งสดปอกเปลือกผ่าหลัง,2
1965,ข่าอ่อน,2
1966,ซอสหมัก BBQ,1
1967,หนังหมูต้มแล้ว,1
1968,หัวหอมแดง/ต้นหอม/ผักชีผักชีฝรั่งเอาแบบ3อย่าง10บาท,1
1969,ผงปรุงรส/พริกป่น/น้ำส้มสายชู/น้ำปลา,1
1970,ข้าวสวยร้อนๆ,3
1971,กุ้ง ขาว แกะเปลือก,1
